X,Y,Z
54,148,-192
60,170,-168
56,142,-198
46,154,-200
52,152,-178
50,158,-192
46,166,-174
44,164,-182
54,152,-192
54,156,-174
52,156,-192
48,158,-202
38,160,-218
56,152,-192
50,154,-198
52,150,-202
50,152,-194
58,158,-168
64,142,-172
52,152,-180
50,156,-192
56,152,-192
44,164,-180
34,162,-186
54,154,-188
52,150,-192
56,152,-178
52,144,-206
52,134,-218
54,146,-214
48,150,-206
50,154,-212
56,152,-192
48,158,-196
50,166,-192
68,140,-176
42,144,-218
42,166,-196
58,142,-188
58,150,-184
52,146,-206
52,160,-186
54,152,-188
56,154,-188
54,148,-196
48,158,-200
54,168,-186
62,136,-170
36,160,-196
50,158,-176
60,138,-208
50,154,-178
56,150,-198
52,152,-208
54,158,-180
52,156,-202
52,156,-198
50,158,-196
48,154,-192
52,148,-192
44,164,-198
58,160,-178
66,140,-164
46,158,-218
46,166,-196
60,142,-196
54,150,-202
52,156,-180
52,154,-184
56,150,-208
50,160,-182
50,144,-188
48,150,-206
52,148,-188
56,158,-190
54,148,-194
56,150,-192
50,146,-194
52,164,-204
62,170,-182
66,128,-172
38,152,-212
48,168,-186
56,140,-196
60,150,-208
50,150,-194
54,150,-206
54,154,-188
52,152,-202
52,150,-198
54,152,-188
50,150,-192
54,144,-192
48,144,-196
64,142,-178
70,136,-204
36,164,-202
62,136,-202
48,146,-212
54,156,-192
48,152,-180
52,152,-202
54,148,-182
46,154,-196
54,152,-188
54,152,-198
58,146,-192
48,144,-192
48,166,-194
64,136,-176
70,134,-190
28,162,-206
58,158,-176
60,140,-208
50,146,-216
50,158,-186
50,150,-182
52,154,-206
58,158,-182
50,154,-192
56,146,-206
58,148,-192
54,152,-192
54,156,-196
54,150,-196
56,146,-192
54,162,-200
48,166,-200
62,142,-178
68,134,-190
40,160,-200
58,154,-174
62,144,-206
48,156,-190
48,152,-194
50,154,-210
48,148,-182
54,152,-202
56,150,-200
52,154,-186
54,142,-192
50,156,-204
44,164,-200
64,136,-170
44,144,-224
46,164,-200
56,148,-210
50,156,-208
54,156,-188
50,154,-206
54,156,-190
54,150,-194
56,146,-208
52,152,-202
56,150,-192
56,150,-190
52,154,-188
54,144,-192
54,138,-192
44,162,-198
54,170,-182
64,130,-174
68,132,-200
38,160,-204
44,166,-194
60,140,-192
50,152,-208
48,156,-188
48,156,-174
54,152,-208
56,160,-190
54,150,-192
48,150,-204
54,152,-192
56,148,-182
56,152,-196
50,150,-194
52,148,-198
46,160,-200
44,164,-188
64,144,-178
68,134,-194
44,158,-210
42,166,-190
64,136,-202
52,160,-200
54,160,-186
50,154,-180
54,154,-206
54,154,-182
48,148,-198
54,152,-194
56,144,-192
48,172,-176
48,164,-184
52,156,-212
54,148,-198
56,150,-210
56,148,-192
66,128,-206
64,142,-196
50,156,-200
50,150,-200
50,156,-192
44,166,-178
48,166,-176
52,160,-182
56,150,-192
50,154,-198
46,164,-202
32,160,-218
54,156,-186
50,152,-188
56,152,-190
60,146,-198
66,134,-200
64,138,-208
52,150,-200
52,150,-184
52,152,-194
48,162,-202
38,160,-204
56,152,-206
50,152,-192
52,146,-188
50,148,-198
66,132,-212
58,138,-204
56,148,-202
50,152,-196
54,154,-192
44,172,-170
44,164,-180
50,156,-180
48,152,-180
50,152,-186
50,144,-198
66,130,-218
60,142,-198
52,158,-194
60,152,-180
50,150,-192
52,150,-194
64,134,-214
52,144,-210
52,150,-204
50,150,-200
54,152,-196
64,150,-172
56,152,-172
48,152,-178
50,158,-184
48,154,-192
44,172,-178
50,162,-178
50,158,-178
52,146,-182
56,148,-182
48,150,-192
64,134,-214
56,142,-210
48,156,-206
52,148,-202
52,152,-196
62,140,-176
58,140,-192
50,152,-192
52,154,-176
52,152,-198
48,164,-204
40,158,-220
46,152,-204
46,154,-198
52,152,-200
58,146,-196
64,136,-194
60,140,-202
52,154,-200
56,152,-176
46,154,-188
44,162,-174
44,164,-174
48,162,-184
50,150,-186
50,150,-210
50,154,-194
58,172,-166
40,170,-176
48,158,-178
54,152,-186
52,152,-186
60,150,-198
62,146,-166
44,162,-184
54,152,-176
54,150,-192
56,148,-184
48,146,-210
