X,Y,Z,FALL
9.99,-1.42,-2.3,0
9.99,-1.42,-2.3,0
9.99,-1.42,-2.3,0
9.99,-1.42,-2.3,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.95,-1.42,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
9.99,-1.34,-2.33,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.06,-1.3,-2.26,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.18,-1.26,-2.3,0
10.22,-1.3,-2.37,0
10.22,-1.3,-2.37,0
10.22,-1.3,-2.37,0
10.22,-1.3,-2.37,0
10.22,-1.3,-2.37,0
10.22,-1.3,-2.37,0
10.22,-1.3,-2.37,0
10.22,-1.3,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.29,-1.22,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.33,-1.19,-2.37,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.29,-1.26,-2.41,0
10.25,-1.38,-2.45,0
10.25,-1.38,-2.45,0
10.25,-1.38,-2.45,0
10.25,-1.38,-2.45,0
10.25,-1.38,-2.45,0
10.25,-1.38,-2.45,0
10.25,-1.38,-2.45,0
10.25,-1.38,-2.45,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.14,-1.3,-2.45,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
9.99,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.02,-1.3,-2.3,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.26,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.06,-1.3,-2.41,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.02,-1.3,-2.37,0
10.14,-1.26,-2.33,0
10.14,-1.26,-2.33,0
10.14,-1.26,-2.33,0
10.14,-1.26,-2.33,0
10.14,-1.26,-2.33,0
10.14,-1.26,-2.33,0
10.14,-1.26,-2.33,0
10.14,-1.26,-2.33,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.22,-2.37,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.14,-1.19,-2.49,0
10.1,-1.22,-2.45,0
10.1,-1.22,-2.45,0
10.1,-1.22,-2.45,0
10.1,-1.22,-2.45,0
10.1,-1.22,-2.45,0
10.1,-1.22,-2.45,0
10.1,-1.22,-2.45,0
10.1,-1.22,-2.45,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.06,-1.22,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.1,-1.26,-2.37,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.14,-1.38,-2.41,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.49,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.3,-2.45,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.22,-1.19,-2.41,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.14,-1.19,-2.37,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.14,-1.26,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.22,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.45,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.25,-1.19,-2.49,0
10.14,-1.15,-2.45,0
10.14,-1.15,-2.45,0
10.14,-1.15,-2.45,0
10.14,-1.15,-2.45,0
10.14,-1.15,-2.45,0
10.14,-1.15,-2.45,0
10.14,-1.15,-2.45,0
10.14,-1.15,-2.45,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.49,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.18,-1.3,-2.53,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.14,-1.49,-2.56,0
10.25,-1.72,-2.45,0
10.25,-1.72,-2.45,0
10.25,-1.72,-2.45,0
10.25,-1.72,-2.45,0
10.25,-1.72,-2.45,0
10.25,-1.72,-2.45,0
10.25,-1.72,-2.45,0
10.25,-1.72,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.33,-1.99,-2.45,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.41,-1.99,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.37,-1.76,-2.6,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
10.56,-1.8,-2.68,0
