czas [s],X,Y,Z
0.45937499999990905,-12,-6,246
0.4600000000000364,-10,0,256
0.4606250000001637,-10,14,264
0.46125000000029104,-10,0,254
0.4618749999999636,8,-22,232
0.46250000000009095,-6,-4,248
0.4631250000002183,-18,10,270
0.4637500000003456,-10,0,246
0.4643750000000182,-8,-4,248
0.4650000000001455,0,0,252
0.46562500000027285,-4,0,252
0.46624999999994543,0,-12,268
0.46687500000007276,-6,0,256
0.4675000000002001,-18,-8,238
0.4681250000003274,-4,0,264
0.46875,2,14,280
0.46937500000012733,-10,2,244
0.47000000000025466,-18,14,248
0.47062499999992724,-10,0,264
0.47125000000005457,0,0,254
0.4718750000001819,0,4,248
0.47250000000030923,-4,0,258
0.4731249999999818,0,-12,258
0.47375000000010914,-10,0,254
0.47437500000023647,-22,6,240
0.47499999999990905,-8,0,248
0.4756250000000364,0,-16,236
0.4762500000001637,-10,0,262
0.47687500000029104,6,8,270
0.4774999999999636,-6,0,246
0.47812500000009095,-16,6,248
0.4787500000002183,-12,0,270
0.4793750000003456,0,0,254
0.4800000000000182,0,0,244
0.4806250000001455,-6,0,256
0.48125000000027285,0,-6,266
0.48187499999994543,-6,0,260
0.48250000000007276,-12,12,264
0.4831250000002001,-8,0,256
0.4837500000003274,-14,0,246
0.484375,-4,0,248
0.48500000000012733,6,-18,256
0.48562500000025466,-4,0,262
0.48624999999992724,2,0,278
0.48687500000005457,-8,0,252
0.4875000000001819,2,18,268
0.48812500000030923,-10,4,240
0.4887499999999818,-8,8,250
0.48937500000010914,-8,-4,236
0.49000000000023647,-4,-12,250
0.49062499999990905,-6,0,248
0.4912500000000364,-4,0,252
0.4918750000001637,-4,-12,238
0.49250000000029104,-8,0,262
0.4931249999999636,-22,12,250
0.49375000000009095,-8,0,250
0.4943750000002183,8,-18,252
0.4950000000003456,-6,-4,248
0.4956250000000182,-12,8,262
0.4962500000001455,-8,0,248
0.49687500000027285,-8,-10,250
0.49749999999994543,0,0,256
0.49812500000007276,-4,0,256
0.4987500000002001,2,-20,236
0.4993750000003274,-4,0,262
0.5,-22,14,244
0.5006250000001273,-4,0,256
0.5012500000002547,8,-20,228
0.5018749999999272,-8,2,258
0.5025000000000546,-10,10,262
0.5031250000001819,-14,6,252
0.5037500000003092,-8,-10,252
0.5043749999999818,-4,2,258
0.5050000000001091,-8,0,262
0.5056250000002365,0,-14,242
0.506249999999909,-10,-4,256
0.5068750000000364,-24,16,238
0.5075000000001637,-8,0,252
0.508125000000291,4,-18,256
0.5087499999999636,0,0,262
0.509375000000091,-18,6,266
0.5100000000002183,-8,0,244
0.5106250000003456,-4,-12,256
0.5112500000000182,0,2,252
0.5118750000001455,-4,0,260
0.5125000000002728,-8,-6,238
0.5131249999999454,-6,-4,262
0.5137500000000728,0,-10,262
0.5143750000002001,-10,0,252
0.5150000000003274,-18,-10,242
0.515625,-8,0,252
0.5162500000001273,6,-20,226
0.5168750000002547,-8,0,262
0.5174999999999272,0,14,272
0.5181250000000546,-8,0,250
0.5187500000001819,-12,6,246
0.5193750000003092,-8,0,266
0.5199999999999818,-8,-8,252
0.5206250000001091,0,0,252
0.5212500000002365,0,2,248
0.521874999999909,0,-14,244
0.5225000000000364,-4,0,258
0.5231250000001637,-22,4,242
0.523750000000291,0,0,258
0.5243749999999636,-4,0,236
0.525000000000091,-4,-4,262
0.5256250000002183,2,-14,264
0.5262500000003456,-10,2,252
0.5268750000000182,-18,10,262
0.5275000000001455,-12,2,250
0.5281250000002728,-10,-8,248
0.5287499999999454,-6,0,260
0.5293750000000728,-6,0,250
0.5300000000002001,0,-10,268
0.5306250000003274,-12,4,254
0.53125,-12,8,252
0.5318750000001273,-8,0,258
0.5325000000002547,8,-14,236
0.5331249999999272,-6,0,258
0.5337500000000546,-12,6,272
0.5343750000001819,-12,0,244
0.5350000000003092,-12,-6,252
0.5356249999999818,-8,0,256
0.5362500000001091,0,0,254
0.5368750000002365,4,-12,260
0.537499999999909,-10,0,254
0.5381250000000364,-22,-8,244
0.5387500000001637,-2,-4,262
0.539375000000291,4,0,278
0.5399999999999636,-6,0,242
0.540625000000091,-12,8,254
0.5412500000002183,-8,-4,272
0.5418750000003456,-10,0,256
0.5425000000000182,-8,-6,240
0.5431250000001455,-6,2,260
0.5437500000002728,-12,10,262
0.5443749999999454,-8,0,258
0.5450000000000728,0,0,232
0.5456250000002001,-8,0,258
0.5462500000003274,0,12,268
0.546875,-6,0,246
0.5475000000001273,-8,-10,248
